"Date","BGG","BIG","BMI","BMS","BOBE","BRC","CAL","CASY","CATO","CBB"
2001-12-31,0.119886986364174,0.0118844164891458,0.189401369028519,0.19971674297957,0.248352041801031,-0.0312036416260678,0.0515468915444358,0.139390205781606,-0.0263340118412143,0.0973589994788
2002-01-31,0.120640367974417,0.0117062344709252,0.190647199192478,0.19963317109144,0.242409408149857,-0.0305482999026508,0.0535594326038421,0.140693800850729,-0.0286910938893242,0.0999497794582881
2002-02-28,0.119754482015919,0.0115957147160381,0.193129012331457,0.208469478535844,0.244042622088287,-0.0324922742564381,0.0510977758997941,0.138082773085916,-0.0343549397374093,0.100675355320592
2002-03-31,0.117451354526552,0.0121276800062818,0.189323038161719,0.219473546638074,0.241970326373121,-0.0215488277037395,0.0422487618496271,0.133201515730654,-0.0326649325060112,0.0984175369237218
2002-04-30,0.117517998160179,0.0117281465943341,0.184895153382704,0.22498332505661,0.240264253910851,-0.018324331678519,0.0408107258263353,0.133818125299944,-0.0354746045632075,0.0997812080107693
2002-05-31,0.112964794409783,0.0172506751297063,0.189283705419786,0.21483201647521,0.242666906081897,-0.0163726576546694,0.0554495755628541,0.133016772231143,-0.0316726315273133,0.0825808438716037
2002-06-30,0.107780332292189,0.0184949166110445,0.202612156940083,0.202173854455255,0.242872978560804,-0.00899345701388872,0.0714430049116332,0.137326259497735,-0.0493911970209861,0.0756811507661302
2002-07-31,0.082903466895249,0.0177263452449673,0.242955657652667,0.22372815094028,0.259660678908172,-0.0349092492399736,0.0607769069748266,0.140213451230848,-0.062609460409554,0.0695540518025182
2002-08-31,0.0588645629599747,0.0295112245344062,0.289638615635928,0.208858106816647,0.256123675523518,-0.0382426514533562,0.0417752613794556,0.146376438996139,-0.0307557949042859,0.0378505605115737
2002-09-30,0.0493777487669187,0.0360026257097933,0.30700373598967,0.200111221978925,0.251195695561781,-0.00991953174746992,0.0161138838613684,0.147288231806082,-0.0147979417648265,0.0176243298377581
2002-10-31,0.0515348497657769,0.0375258785143169,0.299645481441365,0.196696400907541,0.249970557501201,-0.0087477450527423,0.0145477552170199,0.152665192293494,-0.00885657917116039,0.0150182085831871
